SampleName,SampleDeidName
11EP22,STEPN-01
11EP8,STEPN-02
16EP8,STEPN-03
3EP11,STEPN-04
3EP54,STEPN-05
3EP8,STEPN-06
4EP49,STEPN-07
4EP51,STEPN-08
4EP53,STEPN-09
7EP1,STEPN-10
7EP35,STEPN-11
7EP41,STEPN-12
7EP9,STEPN-13
BT1743,STEPN-15
MUV43R1,STEPN-21
MUV43R2,STEPN-22
MUV43R4,STEPN-23
WEPN9,STEPN-24
4EP44,STEPN-25
9EP35,STEPN-26
9EP47,STEPN-27
BT268,STEPN-28
1230717,STEPN-29
1599417,STEPN-30
2192118,STEPN-31
I128034,STEPN-32
I128034R1,STEPN-33
I128034R2,STEPN-34
RD141019,STEPN-35
RD251119,STEPN-36
4717EP17,STEPN-37
FR0671,STEPN-38
I050420,STEPN-39
RD050618,STEPN-40
11EP21,STEPN-41
3EP29,STEPN-42
4EP46,STEPN-43
9EP45,STEPN-44
