Microglia,C1Q Immunosuppressive,Neutrophil,Scavenger Immunosuppressive,G2-M,IFN Response,IL1B Inflammatory,cDC,G1-S,Hypoxia,CXCR4 Inflammatory,HS-UPR,Macrophage,Monocyte
ST6GAL1,C1QA,IFITM2,TGFBI,TOP2A,MX1,CD83,CLNK,PCNA,BNIP3,PDK4,DNAJB1,LGALS3,VCAN
TMIGD3,C1QB,FCGR3B,CD163,CENPF,ISG15,IL1B,HLA-DQA1,CLSPN,ERO1A,P2RY13,HSPH1,GPNMB,FCN1
CYFIP1,FCGR3A,RIPOR2,ASPH,ASPM,IFIT3,NR4A3,LGALS2,FAM111B,HK2,USP53,HSP90AA1,CTSD,LYZ
APOC2,MS4A6A,SELL,STAB1,HMMR,IFIT1,NR4A1,HLA-DPB1,HELLS,ENO2,KLF2,HSPD1,FTL,CD300E
SYNDIG1,PLTP,SMCHD1,SLC16A10,DLGAP5,RSAD2,ABL2,SLAMF7,TYMS,MIF,RHOB,HSPA1A,ACP5,CD44
TREM2,TMEM176B,VNN2,NRP1,CCNB1,IFI44L,OLR1,IDO1,MCM7,GAPDH,BHLHE41,BAG3,PLA2G7,MCEMP1
TMEM119,C1QC,NAMPT,CD93,CDC20,IFI6,NR4A2,XCR1,TK1,LDHA,CTTNBP2,HSPA1B,LGMN,S100A9
SCIN,RASSF4,CXCR2,ANKH,PLK1,OAS2,CCL3,P2RY14,MCM4,MXI1,SGK1,HSPB1,VAT1,TIMP1
PIH1D1,TMEM176A,MMP25,IGFBP4,TPX2,EPSTI1,BCL2A1,HLA-DOB,UHRF1,NDRG1,ITM2C,ZFAND2A,GCHFR,S100A6
SERPINF1,TNFSF13,MEGF9,RNASE1,UBE2C,OAS3,PPP1R15A,P2RY10,PCLAF,GBE1,GSTM3,HSPE1,PSAP,S100A8
WIPF3,C3,MME,ENG,MKI67,MX2,KDM6B,HLA-DPA1,FEN1,PGK1,CCL3,DNAJA4,FUCA1,SH3BGRL3
SPP1,CD163,AQP9,ECM1,CCNB2,SAMD9L,CCL4,FCER1A,DHFR,PLIN2,CH25H,HSP90AB1,LIPA,AC020656.1
HTRA1,GAA,MGAM,CTSB,CENPE,IFITM3,IER3,FLT3,MCM10,BNIP3L,P2RY12,HSPA6,APOC1,FLNA
MCF2L,HLA-DRB1,CXCR1,MYO5A,NUSAP1,LY6E,NFKBIA,HLA-DRB1,MCM6,SLC2A1,JUN,DNAJA1,GM2A,FGR
FCGR1A,HLA-DQB1,IGF2R,FNDC3B,KIF14,CMPK2,RASGEF1B,PARM1,DTL,ENO1,SIGLEC8,CHORDC1,CYP27A1,CFP
TGFBR1,GNG10,CLEC4E,PLXND1,GTSE1,USP18,DUSP2,CPNE3,GINS2,FAM162A,KLF6,IER5,IFI30,AQP9
NAV3,VSIG4,IL18RAP,MRC1,CDKN3,IFIT2,ZFP36,HLA-DQB1,MCM3,P4HA1,FOLR2,CACYBP,GRN,ANPEP
BIN1,CTSC,LRRK2,LYVE1,PTTG1,PARP14,CCL3L1,CST3,CCNE2,TPI1,CCL4,DNAJB4,CAPG,S100A12
ZMAT3,MS4A4A,IL1R2,ME2,BIRC5,OAS1,PLEK,WDFY4,ATAD2,RNASE4,AC253572.2,HSPA8,CD68,CCR2
SLC2A5,NPC2,MXD1,MMP14,DEPDC1,XAF1,GPR183,PPA1,CDC6,ADSSL1,NLRP3,SERPINH1,CD63,LTA4H
PADI2,SIGLEC10,CD55,F13A1,NEK2,HERC5,MAFF,CST7,DUT,SPAG4,CXCR4,FKBP4,APOE,NCF2
C3,STAB1,ICAM3,COLEC12,KPNA2,STAT1,CXCL8,CD1C,CDC45,FTH1,ADGRG1,MRPL18,MGLL,SMIM25
ITGAV,CD14,TNFRSF10C,PMP22,KIF20A,TNFSF10,TNFAIP3,SLC38A1,RRM2,P4HA2,PIK3IP1,JUN,PLD3,LCP1
LINC01736,FCER1G,RESF1,TNFRSF11A,PRC1,IFIH1,SOD2,DAPP1,TCF19,ADM,LINC01480,SLC5A3,ALDH1A1,THBS1
SOCS6,HLA-DOA,TMEM154,CLEC5A,CEP55,DDX58,CCL4L2,CD1E,MYBL2,CSTB,CSGALNACT1,TSPYL2,CTSZ,RIPOR2
OLFML3,HLA-DRB5,CPD,BCAT1,KIF23,OASL,ATF3,BIRC3,PKMYT1,SLC6A8,CCL4L2,PPP1R15A,BLVRB,STXBP2
CX3CR1,F13A1,TREM1,ITGB5,CCNA2,IFI44,EGR3,TACSTD2,MCM2,GPI,CCL3L1,HSPA1L,TSPAN4,UPP1
ADGRG1,HLA-DPA1,LCP1,DAB2,ANLN,IRF7,IL1A,CNN2,E2F1,ANG,SPRY1,GADD45B,PRDX1,NAMPT
GLDN,EMB,NCF2,GPRIN3,KIF2C,IFI35,NFKBIZ,S100B,CDT1,MIR210HG,IER2,ANKRD37,CD9,LILRA5
RTTN,MARCH1,S100P,CTSL,NUF2,ISG20,NFKBID,CLEC9A,ESCO2,ADAM8,NFKBIA,ACTRT3,ATP6V1F,CD55
P2RY12,DSE,ADGRG3,AGFG1,PIMREG,GBP1,GADD45B,MCOLN2,BRCA1,RAB42,ST6GAL1,NEU1,HS3ST2,LILRB2
AL078590.2,GOLIM4,IVNS1ABP,SLC39A8,SGO2,APOL6,EGR2,CLEC10A,RAD51,CD109,BTG2,TENT5A,OTOA,MYO1G
PDPN,AKR1B1,CMTM2,SH3PXD2B,KNL1,CXCL10,ICAM1,JAML,CHEK1,PFKP,SRSF7,EGR1,CTSA,PID1
FSCN1,TMEM163,ACSL1,NIBAN2,BUB1,NEXN,PLAUR,RAB11FIP1,RRM1,NUPR1,IGF1,TCEAL9,CFD,SGMS2
CACNB4,SCIN,FPR2,CEMIP2,AURKA,GBP4,STX11,TAP1,CENPU,AK4,MTUS1,CRYAB,NCEH1,EREG
BHLHE41,FAM20A,S100A9,GNG12,KIF4A,NT5C3A,SELENOK,CCR6,RAD51AP1,SNHG12,EGR1,IER2,CSTB,CSTA
IGSF6,MSR1,NCF1,SPARC,CDK1,HELZ2,TNF,ZNF366,ORC6,VIM,CX3CR1,DDIT3,RMDN3,SERPINA1
PTCRA,MT-ND2,TUBA4A,ITGA4,CDCA8,GMPR,FOSB,CCSER1,FANCI,HILPDA,DDIT4,KLF2,KLHDC8B,MPEG1
ARMH4,SERPINA1,IL18R1,SPRED1,CDCA3,SIGLEC1,GBP2,NAAA,ZWINT,COL27A1,MTSS1,MYLIP,IQGAP2,S100A10
HPGDS,TMEM70,CRISPLD2,TTYH3,CENPA,BST2,SERPINB9,LSP1,CENPM,AL133453.1,KHDRBS3,SQSTM1,RRAGD,CD93
CEBPA,FCGR1A,MSRB1,FPR3,SMC4,LGALS3BP,ELL2,STK17B,H2AFZ,TMEM45A,PDGFB,HSPA5,HTRA4,S100A4
FCGR3A,CPM,STK17B,ARHGAP18,CKS1B,PSMB9,CSRNP1,GPR157,CENPK,ANGPTL4,PAPOLG,LNCAROD,NPL,DMXL2
C1QC,ITGAV,LITAF,HIF1A,TROAP,TNFSF13B,KLF6,CPVL,WDR76,BCAT1,GPM6A,AL499604.1,PLPP3,AP1S2
