"","ZFTA_NPC.like.2","ZFTA_MES_like","ZFTA_Radial.glia.like","ZFTA_NPC.like.1","ZFTA_Ependymal.like","ZFTA_Neuroepithelial_like","ZFTA_Cycling","ZFTA_NPC.like.3"
"1","EYS","VEGFA","CTNND2","MEG3","TCTEX1D1","GAPDH","RRM2","GCGR"
"2","IL1RAPL2","PDK1","PTPRZ1","NRXN1","VWA3A","CLU","ZWINT","TWIST2"
"3","CTNNA3","NAMPT","MAPK4","TCF4","WDR96","EEF1A1","AURKB","ESYT3"
"4","THSD7B","NEAT1","SLC1A2","XIST","ARMC3","LGALS1","IQGAP3","NPTX1"
"5","CNBD1","ENO1","DCLK2","SEZ6L","CCDC37","PRDX1","MKI67","RSPO4"
"6","PTH2R","ENO2","ITPR2","FAM189A1","WDR16","ACTG1","KIF18B","PRKCG"
"7","HPSE2","SAMD4A","FBXL7","CHD7","ZBBX","CKB","HJURP","ALDH1A3"
"8","AGBL1","PGK1","NKAIN3","AUTS2","ADGB","B2M","CENPM","HS3ST3A1"
"9","PLCL1","NOP58","PRKG1","KIRREL3","CCDC42B","ACTB","RAD51AP1","LPHN3"
"10","BANK1","PFKP","NPAS3","CASC15","DNAI1","HSPA8","CENPK","LBX1-AS1"
"11","MEI4","HK2","IQGAP2","ZNF521","SPAG17","TMSB4X","UBE2T","ROR2"
"12","PCDH15","IARS","ATP13A4","PAK3","CCDC170","HSP90AB1","MELK","RERG"
"13","CDH18","PPP1R15A","CTNNA2","TOX","DNAH7","H3F3A","TROAP","TMEM132C"
"14","LINGO2","FNIP1","SLC1A3","KCNQ3","DAW1","CALM1","CDK1","FBLN5"
"15","LUZP2","MARCH1","CSMD2","NCAM1","DNAH6","ALDOA","BUB1B","LEF1"
"16","SLC22A10","SQSTM1","MMD2","NEDD4L","RSPH1","CD63","TACC3","ERC2"
"17","KHDRBS2","BNIP3","TNIK","BOP1","SPAG6","BSG","RAD54L","NKD1"
"18","USH2A","FTL","DCLK1","KM-PA-2","PACRG","TPI1","TOP2A","ANO4"
"19","GRM5","XPOT","PARD3B","ZBTB20","TMEM232","EEF1G","CDC25C","HS3ST2"
"20","NELL1","CD44","SORBS1","GLYCTK","DNAI2","VIM","ORC6","SYT7"
"21","EPHA6","HSPA9","TNC","TOX3","DNAH9","ITM2A","CLSPN","ITGA11"
"22","XIRP2","HILPDA","APC","PTPRN2","DNAH11","HSPB1","ESCO2","MEIS1"
"23","MDGA2","PNRC1","LRRC3B","CACNA2D1","LRRC71","GSTP1","SGOL1","ST8SIA3"
"24","RXFP1","TNFRSF10B","GLIS3","CECR2","SYNE1","PEBP1","WDR62","PDE4D"
"25","PDE11A","LDHA","LRRTM4","DCX","CCDC146","RPL3","XRCC2","EFNA5"
"26","SGCZ","SARS","GPR98","ARHGAP21","MAP3K19","FTH1","KIAA0101","ONECUT2"
"27","COL24A1","P4HA1","MYO10","LMO1","DCDC1","UBC","NUSAP1","NKD2"
"28","UNC13C","MED6","LDB2","CACNA1H","IL16","SRP14","FANCI","CABP7"
"29","MTUS2","SLC2A1","DPP10","IGF1R","LRRIQ1","S100A6","BRIP1","COL9A3"
